# PressureOS compact Simplified-Chinese pinyin lexicon
# Generated from Rime Luna Pinyin; see THIRD_PARTY_NOTICES.md
a	啊	吖
aa	啊啊
aaa	啊啊啊
aaaa	啊啊啊啊
aboluo	阿波罗
abu	阿布
ade	阿德
aer	阿尔
aerfa	阿尔法
aersasi	阿尔萨斯
afuhan	阿富汗
age	阿哥
agenting	阿根廷
aha	啊哈
ai	爱	唉	哎	獃	矮	癌	埃	捱
aiche	爱车
aichi	爱吃
aida	捱打	挨打
aidao	哀悼
aide	爱的	爱得
aidehua	爱德华
aideren	爱的人
aidou	爱豆
aier	艾尔
aierlan	爱尔兰
aige	挨个
aiguo	爱国	爱过
aiguozhe	爱国者
aihao	爱好
aihaozhe	爱好者
aihu	爱护
aiji	埃及
aikan	爱看
ailian	爱恋
ailisi	爱丽丝
ailixin	爱立信
ailun	艾伦
aima	捱骂	挨骂
aimei	暧昧	爱美
aimu	爱慕
aini	爱你
aipusheng	爱普生
aiqing	爱情
aiqinggushi	爱情故事
aiqingshi	爱情是
aiqiyi	爱奇艺
airen	爱人	矮人
aishang	爱上	哀伤
aishangle	爱上了
aishi	爱是
aita	爱他	爱她
aiwo	爱我
aixi	爱惜
aixibao	癌细胞
aixin	爱心
aiya	哎呀
aiyao	哎哟
aiyi	爱意
aiyigeren	爱一个人
aiyinsitan	爱因斯坦
aiyu	爱与
aizelasi	艾泽拉斯
aizhe	爱着
aizheng	癌症
aizi	艾滋
aizibing	艾滋病
aiziji	爱自己
ajiao	阿娇
ala	阿拉
alabo	阿拉伯
alaboyu	阿拉伯语
ali	阿里
alibaba	阿里巴巴
aliyun	阿里云
aman	阿曼
ami	阿弥
an	按	俺	安	案	暗	岸	鞍	氨
anan	暗暗	安安
ananjingjing	安安静静
anbao	安保
anbian	岸边
anbu	暗部
anbujiuban	按部就班
andesen	安德森
andi	安迪
anding	安定
andongni	安东尼
anfa	案发
anfang	安防
anfu	安抚
ang	昂
angda	昂达
anggui	昂贵
anguiding	按规定
angzang	肮脏
anhei	暗黑
anhui	安徽
anhuisheng	安徽省
anjian	案件	按键
anjie	按揭
anjing	安静
anjingde	安静的
anjisuan	氨基酸
ankang	安康
anli	案例	安利
anlian	暗恋
anlifenxi	案例分析
anlishuo	按理说
anmen	俺们
anmo	按摩
anna	安娜
anni	安妮
